review_id,viewer_id,movie_id,rating,review_text,sentiment,review_date
REV0243,VWR0345,MOV044,1,Waste of time.,Negative,2025-06-11
REV0244,VWR0956,MOV054,4,Will definitely watch again.,Positive,2025-01-03
REV0245,VWR0230,MOV016,5,An absolute masterpiece.,Positive,2025-10-05
REV0246,VWR1431,MOV020,4,Strong pacing and high production quality.,Positive,2025-05-08
REV0247,VWR0132,MOV021,5,Will definitely watch again.,Positive,2025-03-29
REV0248,VWR0007,MOV040,1,Waste of time.,Negative,2025-07-15
REV0249,VWR0049,MOV041,3,Average movie experience.,Neutral,2025-05-20
REV0250,VWR0086,MOV002,5,Strong pacing and high production quality.,Positive,2025-04-23
REV0251,VWR1485,MOV052,1,Expected much better.,Negative,2025-04-08
REV0252,VWR0996,MOV055,4,Loved the character development.,Positive,2025-06-09
REV0253,VWR0550,MOV050,2,Waste of time.,Negative,2025-02-09
REV0254,VWR1156,MOV027,3,"Nothing special, but not bad.",Neutral,2025-02-03
REV0255,VWR0755,MOV043,3,Pacing felt a bit slow.,Neutral,2025-12-17
REV0256,VWR0909,MOV023,4,Strong pacing and high production quality.,Positive,2025-11-23
REV0257,VWR0323,MOV035,1,Waste of time.,Negative,2025-07-23
REV0258,VWR0047,MOV033,3,Decent watch for a Sunday afternoon.,Neutral,2025-05-11
REV0259,VWR1386,MOV017,1,Waste of time.,Negative,2025-01-30
REV0260,VWR0714,MOV040,3,"Nothing special, but not bad.",Neutral,2025-07-19
REV0261,VWR0561,MOV009,2,Expected much better.,Negative,2025-05-22
REV0262,VWR0555,MOV021,2,Waste of time.,Negative,2025-04-23
REV0263,VWR0006,MOV059,4,Loved the character development.,Positive,2025-02-04
REV0264,VWR0858,MOV014,5,Will definitely watch again.,Positive,2025-11-05
REV0265,VWR1483,MOV010,4,Strong pacing and high production quality.,Positive,2025-12-07
REV0266,VWR1441,MOV051,1,Could not finish it.,Negative,2025-09-25
REV0267,VWR0834,MOV055,5,An absolute masterpiece.,Positive,2025-07-22
REV0268,VWR0848,MOV035,2,Could not finish it.,Negative,2025-11-24
REV0269,VWR1178,MOV042,5,Incredible visual effects.,Positive,2025-02-15
REV0270,VWR0425,MOV054,4,Will definitely watch again.,Positive,2025-04-19
REV0271,VWR0822,MOV049,4,Incredible visual effects.,Positive,2025-12-11
REV0272,VWR0339,MOV002,5,Strong pacing and high production quality.,Positive,2025-10-28
REV0273,VWR1019,MOV055,5,Incredible visual effects.,Positive,2025-01-14
REV0274,VWR1325,MOV024,3,"It was okay, not great.",Neutral,2025-03-04
REV0275,VWR0905,MOV023,5,An absolute masterpiece.,Positive,2025-07-23
REV0276,VWR1343,MOV007,2,Waste of time.,Negative,2026-01-01
REV0277,VWR1101,MOV002,2,Waste of time.,Negative,2025-10-11
REV0278,VWR0169,MOV024,3,Decent watch for a Sunday afternoon.,Neutral,2025-04-16
REV0279,VWR0350,MOV022,2,Terrible plot and awful acting.,Negative,2025-05-08
REV0280,VWR1428,MOV015,5,Will definitely watch again.,Positive,2025-12-23
REV0281,VWR0203,MOV053,1,Could not finish it.,Negative,2025-10-15
REV0282,VWR1005,MOV007,3,"It was okay, not great.",Neutral,2025-02-09
REV0283,VWR0307,MOV014,3,Decent watch for a Sunday afternoon.,Neutral,2025-12-14
REV0284,VWR1359,MOV057,5,Incredible visual effects.,Positive,2025-01-26
REV0285,VWR0816,MOV044,1,Waste of time.,Negative,2025-01-04
REV0286,VWR0400,MOV001,1,Could not finish it.,Negative,2025-12-18
REV0287,VWR1213,MOV048,1,Could not finish it.,Negative,2025-09-01
REV0288,VWR1190,MOV060,3,Decent watch for a Sunday afternoon.,Neutral,2025-04-03
REV0289,VWR1275,MOV012,5,An absolute masterpiece.,Positive,2025-12-03
REV0290,VWR1429,MOV006,1,Expected much better.,Negative,2025-01-18
REV0291,VWR0278,MOV047,5,Strong pacing and high production quality.,Positive,2025-10-22
REV0292,VWR0549,MOV010,1,Waste of time.,Negative,2025-11-21
REV0293,VWR1338,MOV047,5,Will definitely watch again.,Positive,2025-03-30
REV0294,VWR0040,MOV021,4,Loved the character development.,Positive,2025-07-07
REV0295,VWR0169,MOV040,1,Terrible plot and awful acting.,Negative,2025-05-20
REV0296,VWR0173,MOV042,1,Expected much better.,Negative,2025-02-14
REV0297,VWR0869,MOV005,3,Pacing felt a bit slow.,Neutral,2025-10-27
REV0298,VWR0605,MOV034,1,Terrible plot and awful acting.,Negative,2025-08-26
REV0299,VWR0942,MOV007,1,Expected much better.,Negative,2025-12-22
REV0300,VWR0144,MOV011,5,Will definitely watch again.,Positive,2025-06-12
REV0301,VWR0920,MOV030,3,Decent watch for a Sunday afternoon.,Neutral,2025-09-22
REV0302,VWR1221,MOV029,2,Expected much better.,Negative,2025-09-07
REV0303,VWR1086,MOV001,3,Average movie experience.,Neutral,2025-01-08
REV0304,VWR0888,MOV004,1,Waste of time.,Negative,2025-03-14
REV0305,VWR1131,MOV009,5,An absolute masterpiece.,Positive,2025-09-17
REV0306,VWR0865,MOV018,4,Loved the character development.,Positive,2025-11-19
REV0307,VWR1389,MOV039,4,Loved the character development.,Positive,2025-07-07
REV0308,VWR0288,MOV013,5,Loved the character development.,Positive,2025-09-07
REV0309,VWR0126,MOV049,2,Very disappointing.,Negative,2025-10-13
REV0310,VWR0767,MOV053,1,Terrible plot and awful acting.,Negative,2025-01-14
REV0311,VWR0209,MOV012,1,Expected much better.,Negative,2025-09-05
REV0312,VWR1435,MOV054,3,"It was okay, not great.",Neutral,2025-11-22
REV0313,VWR0743,MOV040,5,Strong pacing and high production quality.,Positive,2025-12-09
REV0314,VWR1148,MOV048,3,Average movie experience.,Neutral,2025-06-13
REV0315,VWR0050,MOV045,1,Expected much better.,Negative,2025-08-01
REV0316,VWR0107,MOV036,2,Very disappointing.,Negative,2025-06-09
REV0317,VWR0970,MOV029,5,Incredible visual effects.,Positive,2025-06-10
REV0318,VWR1172,MOV031,3,Average movie experience.,Neutral,2025-04-20
REV0319,VWR0314,MOV015,1,Terrible plot and awful acting.,Negative,2025-01-28
REV0320,VWR0360,MOV020,1,Very disappointing.,Negative,2025-05-07
REV0321,VWR0606,MOV015,4,Incredible visual effects.,Positive,2025-01-07
REV0322,VWR1215,MOV022,5,Loved the character development.,Positive,2025-12-08
REV0323,VWR0977,MOV004,4,An absolute masterpiece.,Positive,2025-05-04
REV0324,VWR0774,MOV047,1,Could not finish it.,Negative,2025-06-17
REV0325,VWR0448,MOV049,5,An absolute masterpiece.,Positive,2025-07-12
REV0326,VWR0727,MOV004,1,Waste of time.,Negative,2025-08-03
REV0327,VWR1385,MOV025,3,Pacing felt a bit slow.,Neutral,2025-09-24
REV0328,VWR0656,MOV039,2,Expected much better.,Negative,2025-10-16
REV0329,VWR0740,MOV054,5,Incredible visual effects.,Positive,2025-06-26
REV0330,VWR0705,MOV016,3,"Nothing special, but not bad.",Neutral,2025-01-24
REV0331,VWR0849,MOV011,3,"It was okay, not great.",Neutral,2025-07-24
REV0332,VWR1099,MOV059,2,Expected much better.,Negative,2025-06-25
REV0333,VWR0684,MOV029,2,Expected much better.,Negative,2025-01-17
REV0334,VWR1166,MOV013,1,Very disappointing.,Negative,2025-04-29
REV0335,VWR0743,MOV019,4,Loved the character development.,Positive,2025-11-12
REV0336,VWR0846,MOV016,2,Very disappointing.,Negative,2025-11-03
REV0337,VWR0365,MOV059,2,Expected much better.,Negative,2025-10-27
REV0338,VWR1255,MOV010,2,Waste of time.,Negative,2025-11-10
REV0339,VWR0784,MOV032,3,Decent watch for a Sunday afternoon.,Neutral,2025-10-06
REV0340,VWR1077,MOV060,2,Could not finish it.,Negative,2025-10-19
REV0341,VWR0821,MOV041,2,Expected much better.,Negative,2025-03-17
REV0342,VWR0286,MOV020,4,Will definitely watch again.,Positive,2025-04-04
REV0343,VWR0025,MOV003,2,Expected much better.,Negative,2025-04-18
REV0344,VWR0770,MOV042,4,An absolute masterpiece.,Positive,2025-04-24
REV0345,VWR1018,MOV051,4,Incredible visual effects.,Positive,2025-09-14
REV0346,VWR1382,MOV040,3,"It was okay, not great.",Neutral,2025-08-19
REV0347,VWR0081,MOV009,3,Pacing felt a bit slow.,Neutral,2025-12-31
REV0348,VWR0467,MOV028,4,Loved the character development.,Positive,2025-12-22
REV0349,VWR0973,MOV051,2,Waste of time.,Negative,2025-12-07
REV0350,VWR0612,MOV002,1,Waste of time.,Negative,2025-06-11
REV0351,VWR0411,MOV015,3,Decent watch for a Sunday afternoon.,Neutral,2025-07-14
REV0352,VWR0306,MOV033,1,Could not finish it.,Negative,2025-06-19
REV0353,VWR1380,MOV047,5,An absolute masterpiece.,Positive,2025-03-12
REV0354,VWR1206,MOV035,3,"Nothing special, but not bad.",Neutral,2025-11-08
